booking id,booking_date_time,gender,month,day_of_week,time_of_day,distance_travelled,time_taken,reason,toll,category,commission_base_cost,driver_base_cost,total_tax,total_trip_cost,ratings
1941831597,6/11/18 23:52,Male,June,Mon,11:52:00 PM,15,44,Office to/from Home,35,Mini,47.03,223.1,19.63,290,3
1474429099,2/1/18 21:27,Male,February,Thu,09:27:00 PM,16,47,Late Night Ride,0,Mini,44.97,179.9,17.09,242,1
1395187600,1/5/18 23:01,Female,January,Fri,11:01:00 PM,4,6,Late Night Ride,0,Mini,22.03,88.13,8.38,119,2
1703468961,4/13/18 21:55,Female,April,Fri,09:55:00 PM,23,81,Office to/from Home,35,Micro,80.68,357.71,32.4,470.79,3
1897649867,5/31/18 23:46,Male,May,Thu,11:46:00 PM,2,3,Office to/from Home,0,Mini,21.17,84.67,8.04,114,5
1561931118,2/28/18 21:28,Male,February,Wed,09:28:00 PM,3,9,Office to/from Home,0,Mini,20.79,83.15,7.9,111.84,5
1643126208,3/26/18 17:27,Female,March,Mon,05:27:00 PM,4,9,Office Event,0,Mini,22.89,91.58,8.7,123.17,2
1951956883,6/14/18 21:38,Male,June,Thu,09:38:00 PM,12,51,Office to/from Home,0,Micro,60.69,242.75,23.06,327,1
1455166985,1/26/18 2:11,Male,January,Fri,02:11:00 AM,27,52,Office to/from Home,0,Micro,64.41,257.64,24.47,347,4
1785527517,5/4/18 1:07,Male,May,Fri,01:07:00 AM,1,2,Office to/from Home,0,Mini,17.1,68.4,6.5,92,5
2008666914,6/28/18 21:40,Male,June,Thu,09:40:00 PM,8,44,Office to/from Home,0,Mini,65.37,261.5,24.85,352,5
1412039709,1/11/18 22:25,Male,January,Thu,10:25:00 PM,7,43,Office to/from Home,0,Micro,31.66,126.64,12.03,170,4
1870558905,5/24/18 22:41,Male,May,Thu,10:41:00 PM,14,42,Office to/from Home,0,Micro,67.29,269.14,25.57,362,4
1643973974,3/26/18 21:23,Female,March,Mon,09:23:00 PM,2,4,Office to/from Home,0,Prime,21.56,86.25,8.19,116,5
1901990208,6/1/18 22:25,Male,June,Fri,10:25:00 PM,11,48,Office to/from Home,0,Mini,119.94,479.78,45.56,645,5
1490769879,2/7/18 0:32,Female,February,Wed,12:32:00 AM,2,3,Late Night Ride,0,Micro,13.18,52.72,5.01,71,5
1519370301,2/16/18 0:59,Male,February,Fri,12:59:00 AM,2,9,Office to/from Home,0,Micro,14.86,59.44,5.64,80,4
2002223114,6/26/18 21:05,Male,June,Tue,09:05:00 PM,1,56,Office to/from Home,0,Prime,31.08,124.32,11.82,167,5
1696275631,4/11/18 22:00,Female,April,Wed,10:00:00 PM,38,78,Office to/from Home,35,Mini,133.15,567.58,52.34,753.07,1
1848856145,5/18/18 21:33,Female,May,Fri,09:33:00 PM,13,47,Office to/from Home,0,Mini,66.73,266.91,25.36,359,4
1717748576,4/18/18 7:01,Female,April,Wed,07:01:00 AM,20,43,Office Event,0,Mini,54.93,219.73,20.88,295.54,4
1848887648,5/18/18 21:45,Female,May,Fri,09:45:00 PM,11,48,Office to/from Home,0,Prime,95.2,380.79,36.18,512,4
1948423122,6/13/18 21:29,Female,June,Wed,09:29:00 PM,5,33,Office to/from Home,0,Mini,44.44,177.78,16.89,239,4
1929730738,6/8/18 21:49,Male,June,Fri,09:49:00 PM,2,6,Office to/from Home,0,Micro,17.47,69.89,6.63,94,5
1781133070,5/2/18 21:50,Female,May,Wed,09:50:00 PM,16,45,Late Night Ride,0,Mini,52.88,211.51,20.1,284,1
OSN_834166903,1/22/18 21:30,Male,January,Mon,09:30:00 PM,14,80.73,Office to/from Home,0,Mini,24.4,97.61,9.27,131,4
2002515457,6/27/18 1:17,Male,June,Wed,01:17:00 AM,9,29,Office to/from Home,0,Micro,27.14,108.55,10.32,146,4
1971268677,6/18/18 22:53,Female,June,Mon,10:53:00 PM,26,81,Office to/from Home,0,Prime,131.69,526.75,50.04,708,5
OSN_1046832143,6/26/18 21:40,Female,June,Tue,09:40:00 PM,5,68.23,Office to/from Home,0,Mini,33.3,133.2,12.65,179,3
1773832592,5/1/18 2:18,Female,May,Tue,02:18:00 AM,7,7,Office to/from Home,0,Mini,26.12,104.48,9.92,141,4
1653753569,3/29/18 23:11,Female,March,Thu,11:11:00 PM,10,38,NA,0,Micro,37.74,150.97,14.34,203.05,3
1870428300,5/24/18 21:41,Male,May,Thu,09:41:00 PM,31,76,Office to/from Home,35,Mini,97.68,425.72,38.86,562,3
1672879503,4/4/18 22:54,Female,April,Wed,10:54:00 PM,20,58,Office to/from Home,35,Micro,52.22,243.87,21.59,317.68,5
1814291201,5/11/18 0:42,Male,May,Fri,12:42:00 AM,2,3,Office to/from Home,0,Micro,13.3,53.2,5.05,72,3
1412247726,1/12/18 2:12,Male,January,Fri,02:12:00 AM,2,3,Office to/from Home,0,Micro,14.37,57.46,5.46,77,2
1539256031,2/21/18 23:25,Female,February,Wed,11:25:00 PM,12,35,Office to/from Home,0,Micro,37.4,149.6,14.21,201,5
2002278184,6/26/18 21:34,Male,June,Tue,09:34:00 PM,13,51,Office to/from Home,0,Mini,70.26,281.02,26.7,378,4
1513044400,2/13/18 21:35,Male,February,Tue,09:35:00 PM,22,64,Late Night Ride,0,Prime,81.04,324.16,30.8,436,5
1429650966,1/18/18 0:07,Male,January,Thu,12:07:00 AM,10,29,Late Night Ride,0,Micro,30.22,120.88,11.48,163,1
1522288862,2/16/18 21:24,Female,February,Fri,09:24:00 PM,11,46,Office to/from Home,0,Prime,49.26,197.04,18.72,265.02,5
1581006946,3/7/18 0:31,Male,March,Wed,12:31:00 AM,4,29,Office to/from Home,0,Micro,23.98,95.92,9.12,129.02,5
1814273936,5/11/18 0:26,Male,May,Fri,12:26:00 AM,3,5,Office to/from Home,0,Mini,25.84,103.34,9.82,139,3
1944007201,6/12/18 17:16,Female,June,Tue,05:16:00 PM,2,5,Office Event,0,Micro,14.13,56.5,5.37,76,3
1721759372,4/19/18 3:19,Female,April,Thu,03:19:00 AM,3,3,Office to/from Home,0,Mini,18.6,74.4,7.07,100,5
1725816876,4/19/18 22:47,Male,April,Thu,10:47:00 PM,20,48,Office to/from Home,0,Micro,60.41,241.63,22.95,325,4
1386955051,1/3/18 3:00,Male,January,Wed,03:00:00 AM,1,2,Office to/from Home,0,Prime,14.55,58.21,5.53,78,4
1653550083,3/29/18 21:57,Male,March,Thu,09:57:00 PM,7,47,Office to/from Home,0,Mini,44.32,177.26,16.84,238.42,3
OSN_885789461,2/27/18 23:50,Male,February,Tue,11:50:00 PM,2,5.55,Office to/from Home,0,Sedan,9.11,36.43,3.46,49,5
1537682005,2/21/18 14:18,Female,February,Wed,02:18:00 PM,31,72,Office Event,60,Micro,85.84,403.36,35.62,524.82,5
1971347357,6/18/18 23:10,Male,June,Mon,11:10:00 PM,10,30,Office to/from Home,0,Prime,56.13,224.54,21.33,302,3
OSN_942438277,4/11/18 0:58,Male,April,Wed,12:58:00 AM,8,19.7,Late Night Ride,0,Play,11.87,47.5,4.52,64,2
1522504301,2/16/18 23:05,Female,February,Fri,11:05:00 PM,2,22,Office to/from Home,0,Prime,23.92,95.66,9.09,129,5
1650218017,3/28/18 21:38,Female,March,Wed,09:38:00 PM,9,37,Office to/from Home,0,Prime,43.93,175.7,16.7,236.33,5
1490780750,2/7/18 0:53,Female,February,Wed,12:53:00 AM,2,2,Office to/from Home,0,Mini,15.09,60.38,5.74,81,5
1666836418,4/2/18 21:28,Female,April,Mon,09:28:00 PM,12,49,Office to/from Home,0,Micro,39.69,158.74,15.08,213.51,4
1942042449,6/12/18 7:03,Female,June,Tue,07:03:00 AM,35,76,Market/Site Visit,70,Prime,126.28,575.12,51.5,679,5
1521753390,2/16/18 19:43,Female,February,Fri,07:43:00 PM,2,4,Office Event,0,Prime,23.6,94.4,8.97,126.97,5
1813736066,5/10/18 21:49,Female,May,Thu,09:49:00 PM,22,52,Late Night Ride,0,Prime,96.7,386.78,36.75,520,4
2008705648,6/28/18 21:53,Female,June,Thu,09:53:00 PM,9,26,Office to/from Home,0,Prime,40.3,161.2,15.32,217,3
1971092007,6/18/18 21:46,Female,June,Mon,09:46:00 PM,31,67,Office to/from Home,70,Micro,127.92,581.67,52.11,762,2
1395214160,1/5/18 23:22,Female,January,Fri,11:22:00 PM,2,5,Office to/from Home,0,Mini,19.22,76.86,7.3,103,4
1971254823,6/18/18 22:28,Female,June,Mon,10:28:00 PM,5,6,Office to/from Home,0,Prime,29.43,117.74,11.19,158,4
1952235555,6/14/18 23:26,Female,June,Thu,11:26:00 PM,7,30,Late Night Ride,0,Mini,50,200,19,269,4
1392476541,1/4/18 22:26,Female,January,Thu,10:26:00 PM,4,25,Late Night Ride,0,Mini,25.42,101.67,9.66,137,4
1493829563,2/7/18 23:30,Male,February,Wed,11:30:00 PM,3,11,Office to/from Home,0,Mini,20.84,83.36,7.92,112,4
1870695758,5/25/18 1:03,Male,May,Fri,01:03:00 AM,11,35,Office to/from Home,0,Micro,33.44,133.77,12.7,180,4
1669803315,4/3/18 22:48,Male,April,Tue,10:48:00 PM,30,54,Office to/from Home,70,Micro,79.32,387.28,33.64,500.24,4
1902220552,6/2/18 1:01,Male,June,Sat,01:01:00 AM,9,30,Late Night Ride,0,Micro,30.04,120.16,11.42,162,4
1412246815,1/12/18 2:13,Male,January,Fri,02:13:00 AM,18,49,Office to/from Home,0,Mini,53.49,213.95,20.33,288,4
1860397570,5/21/18 21:29,Male,May,Mon,09:29:00 PM,6,37,Late Night Ride,0,Micro,38.29,153.16,14.55,206,1
1451789900,1/25/18 2:25,Male,January,Thu,02:25:00 AM,1,2,Office to/from Home,0,Mini,14.06,56.24,5.34,76,4
1929738747,6/8/18 21:42,Male,June,Fri,09:42:00 PM,8,47,Office to/from Home,0,Mini,38.94,155.76,14.8,210,5
1408173303,1/10/18 18:04,Male,January,Wed,06:04:00 PM,13,28,Office Event,60,Micro,38.35,213.39,17.57,269,5
1978893166,6/20/18 23:08,Male,June,Wed,11:08:00 PM,15,48,Office to/from Home,35,Mini,72.45,324.79,29.28,427,4
1952011574,6/14/18 21:34,Female,June,Thu,09:34:00 PM,31,68,Office to/from Home,70,Prime,134.08,606.3,54.44,795,4
1635126686,3/23/18 22:14,Male,March,Fri,10:14:00 PM,3,43,Office to/from Home,0,Micro,33.31,133.22,12.66,179.19,5
1415713671,1/13/18 1:06,Female,January,Sat,01:06:00 AM,19,35,Office to/from Home,0,Micro,43.18,172.72,16.41,232,5
1849210418,5/19/18 0:48,Female,May,Sat,12:48:00 AM,6,22,Office to/from Home,0,Micro,24.16,96.64,9.18,130,3
1918265219,6/5/18 21:05,Male,June,Tue,09:05:00 PM,30,90,Office to/from Home,35,Micro,105.2,455.82,41.73,603,3
1644088250,3/26/18 22:34,Male,March,Mon,10:34:00 PM,11,47,Office to/from Home,0,Mini,47.21,188.85,17.94,254,1
1978744916,6/20/18 21:53,Female,June,Wed,09:53:00 PM,24,53,Office to/from Home,0,Mini,100.78,403.11,38.3,542,4
1814300052,5/11/18 0:53,Female,May,Fri,12:53:00 AM,20,38,Office to/from Home,0,Micro,45.35,181.42,17.23,244,5
1872141892,5/25/18 13:37,Male,May,Fri,01:37:00 PM,20,46,NA,70,Micro,48.92,265.68,22.09,337,4
1696172313,4/11/18 21:11,Male,April,Wed,09:11:00 PM,13,48,Office to/from Home,0,Mini,45.54,182.16,17.31,245.01,5
1562207636,2/28/18 23:46,Female,February,Wed,11:46:00 PM,4,5,Office to/from Home,0,Micro,17.3,69.21,6.57,93.08,4
1696315752,4/11/18 22:24,Male,April,Wed,10:24:00 PM,15,45,Office to/from Home,0,Mini,48.43,193.72,18.41,260.56,2
1469404880,1/31/18 0:29,Male,January,Wed,12:29:00 AM,6,7,Office to/from Home,0,Micro,19.78,79.12,7.52,106,5
1581047342,3/7/18 2:13,Female,March,Wed,02:13:00 AM,10,16,NA,0,Micro,26.32,105.28,10,141.6,5
1761025116,4/27/18 23:02,Male,April,Fri,11:02:00 PM,7,33,Office to/from Home,0,Mini,40.71,162.82,15.47,219,4
1467025683,1/30/18 8:18,Female,January,Tue,08:18:00 AM,27,94,Market/Site Visit,0,Mini,89.27,357.08,33.92,480,4
1945361159,6/13/18 3:25,Male,June,Wed,03:25:00 AM,27,52,Office to/from Home,0,Micro,64.41,257.64,24.47,347,5
1693091081,4/11/18 0:40,Male,April,Wed,12:40:00 AM,12,30,Office to/from Home,0,Mini,37.73,150.93,14.34,203,4
1532906921,2/19/18 21:19,Male,February,Mon,09:19:00 PM,13,55,Office to/from Home,0,Mini,46.28,185.12,17.59,248.99,5
1860680658,5/22/18 0:45,Male,May,Tue,12:45:00 AM,27,45,Office to/from Home,0,Micro,65.7,262.8,24.97,353,1
1886591871,5/28/18 21:11,Female,May,Mon,09:11:00 PM,16,57,Office to/from Home,35,Micro,70.17,315.68,28.41,414,5
1409183428,1/11/18 1:00,Female,January,Thu,01:00:00 AM,3,3,Late Night Ride,0,Mini,19.3,77.19,7.33,104,3
1833620624,5/14/18 21:49,Female,May,Mon,09:49:00 PM,17,58,Office to/from Home,35,Micro,47.68,225.72,19.87,293,2
1886788118,5/28/18 22:29,Male,May,Mon,10:29:00 PM,2,3,NA,0,Micro,15.06,60.22,5.72,81,4
1690063888,4/10/18 4:12,Female,April,Tue,04:12:00 AM,14,30,Office to/from Home,35,Micro,35.69,177.75,15.31,228.75,4
1875353468,5/25/18 23:25,Male,May,Fri,11:25:00 PM,12,35,Office to/from Home,0,Micro,66.05,264.19,25.1,355,5
OSN_1042915169,6/22/18 21:14,Male,June,Fri,09:14:00 PM,12,46.5,Office to/from Home,0,Mini,23.98,95.91,9.12,129,4
1558799814,2/27/18 21:31,Male,February,Tue,09:31:00 PM,22,64,Late Night Ride,0,Prime,81.66,326.62,31.03,439.31,5
1922362711,6/7/18 1:54,Female,June,Thu,01:54:00 AM,12,28,Late Night Ride,0,Micro,33.64,134.58,12.79,181,5
1559031610,2/28/18 0:18,Female,February,Wed,12:18:00 AM,14,33,Office to/from Home,0,Mini,43.2,172.8,16.42,232.42,5
1423833643,1/16/18 0:48,Female,January,Tue,12:48:00 AM,2,3,Office to/from Home,0,Micro,15.16,60.63,5.76,82,4
1522418879,2/16/18 22:16,Male,February,Fri,10:16:00 PM,21,44,Office to/from Home,0,Micro,48.8,195.2,18.54,262.54,4
1599911448,3/12/18 22:36,Female,March,Mon,10:36:00 PM,12,42,Office to/from Home,0,Micro,38.1,152.42,14.48,205,5
1875239345,5/25/18 22:39,Male,May,Fri,10:39:00 PM,11,38,Late Night Ride,0,Mini,74.56,298.22,28.33,401,3
1717437467,4/17/18 22:41,Male,April,Tue,10:41:00 PM,2,4,Office to/from Home,0,Prime,19.18,76.72,7.29,103,5
1539222442,2/21/18 23:07,Female,February,Wed,11:07:00 PM,34,64,Office to/from Home,60,Micro,93.24,432.96,38.42,564.62,4
1602739867,3/13/18 22:01,Male,March,Tue,10:01:00 PM,2,5,Office to/from Home,0,Mini,17.66,70.63,6.71,95,2
1948760666,6/14/18 2:51,Male,June,Thu,02:51:00 AM,10,6,Office to/from Home,0,Mini,28.88,115.52,10.98,155,2
1640550979,3/25/18 20:46,Male,March,Sun,08:46:00 PM,13,35,Airport/Station Ride,0,Prime Play,69.62,198.91,22.48,291.01,5
1451444542,1/24/18 21:34,Male,January,Wed,09:34:00 PM,5,40,Office to/from Home,0,Micro,27.76,111.04,10.55,149,4
1902049449,6/1/18 22:58,Male,June,Fri,10:58:00 PM,29,54,Office to/from Home,0,Prime,120.74,482.98,45.88,650,4
OSN_923037503,3/27/18 21:28,Male,March,Tue,09:28:00 PM,5,33.43,Office to/from Home,0,Mini,7.25,29,2.75,39,5
1751559887,4/26/18 0:11,Female,April,Thu,12:11:00 AM,10,39,Office to/from Home,0,Micro,45.79,183.15,17.4,246,3
1565311478,3/1/18 23:09,Female,March,Thu,11:09:00 PM,4,13,Office to/from Home,0,Micro,18.58,74.32,7.06,99.96,4
1696413723,4/11/18 23:31,Female,April,Wed,11:31:00 PM,6,27,Office to/from Home,0,Micro,24.9,99.58,9.46,134,4
1487967851,2/6/18 1:46,Female,February,Tue,01:46:00 AM,1,2,Office to/from Home,0,Mini,14.06,56.24,5.34,76,5
1451769774,1/25/18 1:32,Female,January,Thu,01:32:00 AM,5,5,Office to/from Home,0,Micro,20.26,81.05,7.7,109,2
1448491041,1/23/18 23:07,Male,January,Tue,11:07:00 PM,31,75,Office to/from Home,0,Mini,98.12,392.5,37.29,528,2
1423570204,1/15/18 21:54,Female,January,Mon,09:54:00 PM,17,54,Office to/from Home,0,Micro,47.08,188.32,17.9,253,5
1894059849,5/30/18 23:42,Female,May,Wed,11:42:00 PM,49,91,Office to/from Home,35,Micro,141.94,602.76,55.69,800,5
1635063592,3/23/18 21:33,Female,March,Fri,09:33:00 PM,30,95,Office to/from Home,35,Micro,112.08,483.33,44.34,639.75,4
1730565489,4/20/18 21:37,Male,April,Fri,09:37:00 PM,21,58,Office to/from Home,0,Mini,69.85,279.42,26.56,376,2
1510449006,2/12/18 22:26,Female,February,Mon,10:26:00 PM,4,6,Late Night Ride,0,Micro,16.6,66.4,6.31,89.31,5
1510602336,2/13/18 0:36,Male,February,Tue,12:36:00 AM,5,5,Office to/from Home,0,Micro,17.02,68.08,6.46,91.56,4
1679742364,4/7/18 1:01,Male,April,Sat,01:01:00 AM,3,3,Office to/from Home,0,Mini,20.63,82.53,7.84,111,5
1613032821,3/16/18 21:41,Male,March,Fri,09:41:00 PM,2,4,Office to/from Home,0,Micro,16.54,66.17,6.29,89,4
1902140451,6/1/18 23:45,Female,June,Fri,11:45:00 PM,31,50,NA,70,Micro,115.77,533.09,47.49,696,2
1565174221,3/1/18 22:17,Male,March,Thu,10:17:00 PM,4,34,Office to/from Home,0,Micro,25.51,102.03,9.69,137.23,5
1669733627,4/3/18 21:35,Female,April,Tue,09:35:00 PM,3,33,Office to/from Home,0,Micro,28.26,113.05,10.74,152.05,3
1605911642,3/15/18 4:39,Female,March,Thu,04:39:00 AM,2,2,Office to/from Home,0,Micro,13.94,55.76,5.3,75,4
1426714037,1/16/18 23:20,Female,January,Tue,11:20:00 PM,11,34,Late Night Ride,0,Micro,32.92,131.68,12.51,177,5
OSN_933739493,4/4/18 21:41,Female,April,Wed,09:41:00 PM,2,19.38,Late Night Ride,0,Mini,7.25,29,2.75,39,5
1536115123,2/20/18 22:24,Female,February,Tue,10:24:00 PM,13,48,Office to/from Home,0,Micro,39.4,157.6,14.97,211.97,5
1918518490,6/5/18 23:04,Female,June,Tue,11:04:00 PM,12,45,Office Event,0,Mini,43.31,173.23,16.46,233,5
1987014006,6/22/18 22:13,Male,June,Fri,10:13:00 PM,11,47,NA,0,Mini,84.76,339.03,32.21,456,5
1863617920,5/22/18 21:35,Male,May,Tue,09:35:00 PM,5,9,Office to/from Home,0,Mini,24.95,99.82,9.48,134,5
2012706916,6/30/18 0:23,Female,June,Sat,12:23:00 AM,3,4,Late Night Ride,0,Micro,21.56,86.25,8.19,116,3
1587418457,3/9/18 5:12,Male,March,Fri,05:12:00 AM,8,25,Office to/from Home,0,Mini,32.28,129.12,12.27,173.67,5
1672771175,4/4/18 21:52,Male,April,Wed,09:52:00 PM,16,47,Office to/from Home,0,Micro,51.93,207.73,19.74,279.4,4
1403547103,1/8/18 21:20,Male,January,Mon,09:20:00 PM,28,86,Office to/from Home,0,Micro,83.32,333.28,31.66,448,4
1893635589,5/30/18 21:10,Male,May,Wed,09:10:00 PM,7,44,Office to/from Home,0,Micro,38.29,153.16,14.55,206,4
1563443829,3/1/18 13:25,Male,March,Thu,01:25:00 PM,56,9,Office Event,120,Prime Rentals,226.34,1025.36,92,1343.7,4
1870769964,5/25/18 4:23,Female,May,Fri,04:23:00 AM,31,50,Office to/from Home,70,Micro,78.4,383.6,33.29,495,4
1841319078,5/16/18 22:12,Male,May,Wed,10:12:00 PM,8,39,Office to/from Home,0,Mini,37.55,150.18,14.27,202,5
1493834631,2/7/18 23:48,Female,February,Wed,11:48:00 PM,4,22,Office to/from Home,0,Micro,20.8,83.2,7.9,112,4
1403737601,1/8/18 23:29,Female,January,Mon,11:29:00 PM,2,2,Office to/from Home,0,Prime,18.02,72.08,6.84,97,4
1751571490,4/26/18 0:26,Female,April,Thu,12:26:00 AM,4,4,Office to/from Home,0,Mini,21.04,84.16,8,113,5
1978907849,6/20/18 23:24,Female,June,Wed,11:24:00 PM,2,4,Office to/from Home,0,Micro,19.7,78.81,7.49,106,3
1487647440,2/5/18 21:38,Male,February,Mon,09:38:00 PM,10,42,Office to/from Home,0,Prime,47.38,189.52,18.01,255,4
1394976385,1/5/18 21:14,Female,January,Fri,09:14:00 PM,10,49,Office to/from Home,0,Mini,58.11,232.43,22.08,313,5
1412065109,1/11/18 22:22,Female,January,Thu,10:22:00 PM,3,28,Office to/from Home,0,Micro,22.36,89.44,8.49,120,1
1703551442,4/13/18 22:26,Female,April,Fri,10:26:00 PM,5,21,Office to/from Home,0,Mini,46.81,187.24,17.78,251.83,4
1533041755,2/19/18 22:27,Female,February,Mon,10:27:00 PM,8,57,Office to/from Home,0,Mini,47.1,188.4,17.9,253.4,5
1490673394,2/6/18 22:54,Female,February,Tue,10:54:00 PM,27,67,Office to/from Home,0,Micro,72.3,289.2,27.47,389,4
1516393994,2/15/18 0:41,Female,February,Thu,12:41:00 AM,2,3,Office to/from Home,0,Mini,17.99,71.97,6.84,97,5
1699743963,4/12/18 22:15,Female,April,Thu,10:15:00 PM,15,45,Office to/from Home,35,Micro,44.94,214.74,18.83,278.51,5
1406015646,1/9/18 21:07,Male,January,Tue,09:07:00 PM,9,46,Office to/from Home,0,Micro,34.48,137.92,13.1,186,2
1516336066,2/14/18 23:40,Male,February,Wed,11:40:00 PM,3,10,Office to/from Home,0,Mini,20,80,7.6,107.6,5
1914926628,6/4/18 22:36,Female,June,Mon,10:36:00 PM,8,27,Office to/from Home,0,Micro,69.71,278.82,26.48,375,4
1632052342,3/23/18 0:41,Female,March,Fri,12:41:00 AM,4,4,Office to/from Home,0,Micro,19.58,78.33,7.44,105.35,2
1809490376,5/10/18 1:33,Male,May,Thu,01:33:00 AM,4,4,Office to/from Home,0,Micro,15.88,63.52,6.04,85,5
1474649247,2/2/18 0:04,Male,February,Fri,12:04:00 AM,2,2,Late Night Ride,0,Micro,12.64,50.56,4.81,68,4
1879246081,5/27/18 0:50,Male,May,Sun,12:50:00 AM,4,4,Office to/from Home,0,Mini,20.56,82.24,7.81,111,4
1536033823,2/20/18 21:49,Female,February,Tue,09:49:00 PM,6,41,Office to/from Home,0,Mini,32.11,128.44,12.2,172.75,5
OSN_885773819,2/27/18 23:14,Male,February,Tue,11:14:00 PM,3,14.63,Late Night Ride,0,Sedan,7.43,29.74,2.83,40,4
1743795495,4/24/18 6:30,Female,April,Tue,06:30:00 AM,16,31,Airport/Station Ride,0,Prime,61.68,246.71,23.44,332,3
1743436233,4/23/18 22:17,Male,April,Mon,10:17:00 PM,1,3,Office to/from Home,0,Micro,15.77,63.07,5.99,85,5
1602659429,3/13/18 21:20,Male,March,Tue,09:20:00 PM,9,37,Office to/from Home,0,Prime,43.9,175.6,16.68,236.18,4
1886629487,5/28/18 21:32,Male,May,Mon,09:32:00 PM,11,42,Late Night Ride,0,Prime,47.82,191.28,18.16,257,5
1389975162,1/4/18 1:38,Female,January,Thu,01:38:00 AM,12,15,Airport/Station Ride,0,Prime Play,43.05,272.2,21.36,337,3
1442744790,1/22/18 8:45,Male,January,Mon,08:45:00 AM,31,115,Office Event,60,Mini,131.93,587.71,53.14,773,4
1801794140,5/7/18 22:17,Male,May,Mon,10:17:00 PM,15,45,Office to/from Home,0,Micro,59.26,237.03,22.52,319,3
1945171867,6/12/18 22:30,Male,June,Tue,10:30:00 PM,28,52,Office to/from Home,0,Mini,97.94,391.78,37.22,527,5
1951883389,6/14/18 21:10,Male,June,Thu,09:10:00 PM,22,53,Office to/from Home,0,Mini,71.78,287.13,27.28,386,4
1730999467,4/20/18 23:23,Female,April,Fri,11:23:00 PM,20,49,Late Night Ride,0,Micro,68.44,273.78,26.01,368,5
1713832850,4/16/18 21:58,Male,April,Mon,09:58:00 PM,13,49,Late Night Ride,0,Micro,41.08,164.31,15.61,221,4
OSN_999571081,5/15/18 23:35,Female,May,Tue,11:35:00 PM,2,14.8,Office to/from Home,0,Mini,9.36,37.45,3.56,50,5
1833600244,5/14/18 21:33,Female,May,Mon,09:33:00 PM,6,30,Late Night Ride,0,Micro,29.37,117.47,11.16,158,3
1429702328,1/18/18 1:27,Male,January,Thu,01:27:00 AM,14,34,Office to/from Home,0,Micro,45.43,181.74,17.27,244,3
1631850777,3/22/18 21:52,Male,March,Thu,09:52:00 PM,15,44,Late Night Ride,0,Prime,75.78,303.1,28.8,407.68,4
1510333134,2/12/18 21:29,Male,February,Mon,09:29:00 PM,3,6,Late Night Ride,0,Mini,24.01,96.02,9.12,129.15,4
1587017179,3/8/18 21:32,Female,March,Thu,09:32:00 PM,2,4,Office to/from Home,0,Micro,13.69,54.78,5.2,73.67,3
1565298123,3/1/18 23:02,Female,March,Thu,11:02:00 PM,29,66,Office to/from Home,0,Micro,77.95,311.8,29.64,419.39,4
1462472263,1/28/18 18:39,Female,January,Sun,06:39:00 PM,14,53,Customer/Partner Visit,0,Prime Play,57.17,228.68,21.74,308,4
